# Different H0. 1) Concordance H0=67.8 OmegaM = 0.308, 2) Concordance H0=65.0 OmegaM = 0.308, 3) Concordance H0=75.0 OmegaM = 0.308
trigger,name,number,z,t90,detector,LATburst,flux,flux_err_low,flux_err_up,fluence,fluence_err_low,fluence_err_up,DL1,DL2,DL3,eiso1,eiso1_err_low,eiso1_err_up,eiso1_err,eiso2,eiso2_err_low,eiso2_err_up,eiso2_err,eiso3,eiso3_err_low,eiso3_err_up,eiso3_err
bn080916009,080916C,5,4.35,62.977,L,Y,1.51011984358e-06,1.47945064488e-06,1.54078904228e-06,9.51028173891e-05,9.31713632623e-05,9.70342715159e-05,1.25078798198e+29,1.30466807966e+29,1.13071233571e+29,3.4947560422e+54,3.42378063721e+54,3.56573144719e+54,7.09754049907e+52,3.80232766037e+54,3.72510574778e+54,3.87954957295e+54,7.72219125863e+52,2.85597055379e+54,2.79796831722e+54,2.91397279035e+54,5.80022365649e+52
bn090323002,90323,13,3.57,135.17,L,Y,1.13852576948e-06,1.11332039246e-06,1.1637311465e-06,0.000153894528261,0.00015048751745,0.000157301539072,9.8952761713e+28,1.03215342218e+29,8.94532965886e+28,4.14355093569e+54,4.05181848103e+54,4.23528339034e+54,9.17324546525e+52,4.50822264691e+54,4.40841686778e+54,4.60802842605e+54,9.98057791349e+52,3.38617612146e+54,3.3112108918e+54,3.46114135112e+54,7.49652296613e+52
bn090328401,090328A,14,0.736,61.697,L,Y,1.28926041483e-06,1.25214781291e-06,1.32637301675e-06,7.95434998135e-05,7.72537636131e-05,8.18332360139e-05,1.43755447821e+28,1.49947990189e+28,1.2995492483e+28,1.18990821387e+53,1.15565556068e+53,1.22416086706e+53,3.42526531881e+51,1.2946314021e+53,1.25736419114e+53,1.33189861305e+53,3.72672109541e+51,9.72412030907e+52,9.44420214679e+52,1.00040384713e+53,2.79918162278e+51
bn090510016,90510,17,0.903,0.96,L,Y,1.28904015057e-05,1.19939873009e-05,1.37868157105e-05,1.23747854455e-05,1.15142278089e-05,1.32353430821e-05,1.84765861596e+28,1.92725006403e+28,1.67028338883e+28,2.78966604712e+52,2.59566927595e+52,2.9836628183e+52,1.93996771174e+51,3.03518307031e+52,2.82411274662e+52,3.246253394e+52,2.11070323693e+51,2.27975972837e+52,2.12122246301e+52,2.43829699372e+52,1.58537265352e+51
bn090902462,090902B,20,1.822,19.328,L,Y,2.04645075205e-05,2.03056384437e-05,2.06233765973e-05,0.000395538001357,0.000392467379841,0.000398608622873,4.38716034593e+28,4.57614571468e+28,3.96599295272e+28,3.39006546366e+54,3.36374787112e+54,3.4163830562e+54,2.6317592541e+52,3.68842331976e+54,3.65978952991e+54,3.7170571096e+54,2.86337898452e+52,2.77041573795e+54,2.74890858025e+54,2.79192289566e+54,2.1507157706e+52
bn090926181,090926A,21,2.1062,13.76,L,Y,1.29745121832e-05,1.29048390696e-05,1.30441852968e-05,0.00017852928764,0.000177570585597,0.000179487989683,5.23749608657e+28,5.46311130261e+28,4.73469646226e+28,1.98124116855e+54,1.97060190605e+54,1.99188043106e+54,1.06392625054e+52,2.1556091487e+54,2.14403353037e+54,2.16718476703e+54,1.15756183326e+52,1.6191019828e+54,1.61040740725e+54,1.62779655835e+54,8.69457554759e+51
bn091003191,91003,24,0.8969,20.224,L,Y,2.02666460429e-06,1.96860416256e-06,2.08472504602e-06,4.09872649571e-05,3.98130505836e-05,4.21614793306e-05,1.83230852833e+28,1.91123874186e+28,1.65640690961e+28,9.11615231113e+52,8.85499028712e+52,9.37731433513e+52,2.61162024003e+51,9.91846002127e+52,9.63431326662e+52,1.02026067759e+53,2.84146754656e+51,7.44986552709e+52,7.23643974248e+52,7.6632913117e+52,2.13425784608e+51
bn091208410,091208B,28,1.0633,12.48,L,Y,6.48451861614e-07,5.84077564779e-07,7.12826158449e-07,8.09267923294e-06,7.28928800843e-06,8.89607045745e-06,2.25996127038e+28,2.35731344818e+28,2.04300498842e+28,2.5173395886e+52,2.26743365802e+52,2.76724551918e+52,2.49905930579e+51,2.7388893052e+52,2.46698928676e+52,3.01078932364e+52,2.71900018444e+51,2.05721018924e+52,1.85298306428e+52,2.2614373142e+52,2.04227124964e+51
bn100728095,100728A,33,1.567,165.378,L,Y,8.42341754662e-07,8.1446666155e-07,8.70216847774e-07,0.000139304794702,0.000134694867553,0.000143914721851,3.64578399785e+28,3.80283315468e+28,3.29578873406e+28,9.06425111571e+53,8.76429347685e+53,9.36420875457e+53,2.99957638864e+52,9.86199102929e+53,9.53563427837e+53,1.01883477802e+54,3.2635675092e+52,7.40745103978e+53,7.16232085797e+53,7.65258122158e+53,2.45130181802e+52
bn110731465,110731A,42,2.83,7.485,L,Y,4.40928305061e-06,4.33502189384e-06,4.48354420738e-06,3.30034836338e-05,3.24476388753e-05,3.35593283923e-05,7.49189573083e+28,7.81462354693e+28,6.77267374067e+28,6.07791080615e+53,5.97554661631e+53,6.18027499599e+53,1.02364189837e+52,6.61282449944e+53,6.50145129177e+53,6.72419770711e+53,1.11373207672e+52,4.96696595736e+53,4.8833123036e+53,5.05061961112e+53,8.36536537622e+51
