# Different Cosmologies. 1) Concordance H0=67.8 OmegaM = 0.308, 2) Riess H0=67.8 OmegaM = 0.308, 3) Weyl Gravity H0=67.8 
trigger,name,number,z,t90,detector,LATburst,flux,flux_err_low,flux_err_up,fluence,fluence_err_low,fluence_err_up,DL1,DL2,DL3,eiso1,eiso1_err_low,eiso1_err_up,eiso1_err,eiso2,eiso2_err_low,eiso2_err_up,eiso2_err,eiso3,eiso3_err_low,eiso3_err_up,eiso3_err
bn080916009,080916C,5,4.35,62.977,L,Y,1.51011984358e-06,1.47945064488e-06,1.54078904228e-06,9.51028173891e-05,9.31713632623e-05,9.70342715159e-05,1.25078798198e+29,9.22985649247e+28,2.09166145092e+29,3.4947560422e+54,3.42378063721e+54,3.56573144719e+54,7.09754049907e+52,1.90300251448e+54,1.86435421614e+54,1.94165081283e+54,3.86482983454e+52,9.77309791517e+54,9.57461493835e+54,9.971580892e+54,1.98482976828e+53
bn090323002,90323,13,3.57,135.17,L,Y,1.13852576948e-06,1.11332039246e-06,1.1637311465e-06,0.000153894528261,0.00015048751745,0.000157301539072,9.8952761713e+28,7.81445839383e+28,1.50325938301e+29,4.14355093569e+54,4.05181848103e+54,4.23528339034e+54,9.17324546525e+52,2.58413149442e+54,2.52692241728e+54,2.64134057156e+54,5.72090771436e+52,9.562791553e+54,9.35108464844e+54,9.77449845756e+54,2.11706904562e+53
bn090328401,090328A,14,0.736,61.697,L,Y,1.28926041483e-06,1.25214781291e-06,1.32637301675e-06,7.95434998135e-05,7.72537636131e-05,8.18332360139e-05,1.43755447821e+28,1.4418864377e+28,1.47111229015e+28,1.18990821387e+53,1.15565556068e+53,1.22416086706e+53,3.42526531881e+51,1.19709041226e+53,1.16263101258e+53,1.23154981194e+53,3.44593996813e+51,1.24611030098e+53,1.21023981662e+53,1.28198078534e+53,3.58704843583e+51
bn090510016,90510,17,0.903,0.96,L,Y,1.28904015057e-05,1.19939873009e-05,1.37868157105e-05,1.23747854455e-05,1.15142278089e-05,1.32353430821e-05,1.84765861596e+28,1.83483104325e+28,1.92741718277e+28,2.78966604712e+52,2.59566927595e+52,2.9836628183e+52,1.93996771174e+51,2.75106538319e+52,2.55975294915e+52,2.94237781723e+52,1.91312434038e+51,3.03570947627e+52,2.82460254567e+52,3.24681640687e+52,2.11106930604e+51
bn090902462,090902B,20,1.822,19.328,L,Y,2.04645075205e-05,2.03056384437e-05,2.06233765973e-05,0.000395538001357,0.000392467379841,0.000398608622873,4.38716034593e+28,4.08775876538e+28,5.21338311097e+28,3.39006546366e+54,3.36374787112e+54,3.4163830562e+54,2.6317592541e+52,2.94314450695e+54,2.92029642961e+54,2.9659925843e+54,2.28480773464e+52,4.78718653949e+54,4.75002288407e+54,4.82435019492e+54,3.71636554263e+52
bn090926181,090926A,21,2.1062,13.76,L,Y,1.29745121832e-05,1.29048390696e-05,1.30441852968e-05,0.00017852928764,0.000177570585597,0.000179487989683,5.23749608657e+28,4.76648763281e+28,6.49233226163e+28,1.98124116855e+54,1.97060190605e+54,1.99188043106e+54,1.06392625054e+52,1.64091793497e+54,1.63210620779e+54,1.64972966215e+54,8.81172718243e+51,3.04432767998e+54,3.02797964428e+54,3.06067571567e+54,1.63480356928e+52
bn091003191,91003,24,0.8969,20.224,L,Y,2.02666460429e-06,1.96860416256e-06,2.08472504602e-06,4.09872649571e-05,3.98130505836e-05,4.21614793306e-05,1.83230852833e+28,1.82027297077e+28,1.90997854477e+28,9.11615231113e+52,8.85499028712e+52,9.37731433513e+52,2.61162024003e+51,8.99678635088e+52,8.73904395555e+52,9.25452874622e+52,2.57742395337e+51,9.90538463357e+52,9.62161246619e+52,1.01891568009e+53,2.83772167373e+51
bn091208410,091208B,28,1.0633,12.48,L,Y,6.48451861614e-07,5.84077564779e-07,7.12826158449e-07,8.09267923294e-06,7.28928800843e-06,8.89607045745e-06,2.25996127038e+28,2.2216608226e+28,2.40651783105e+28,2.5173395886e+52,2.26743365802e+52,2.76724551918e+52,2.49905930579e+51,2.43273792629e+52,2.19123072636e+52,2.67424512622e+52,2.41507199933e+51,2.85442068851e+52,2.5710514277e+52,3.13778994932e+52,2.83369260809e+51
bn100728095,100728A,33,1.567,165.378,L,Y,8.42341754662e-07,8.1446666155e-07,8.70216847774e-07,0.000139304794702,0.000134694867553,0.000143914721851,3.64578399785e+28,3.46313025448e+28,4.17115460221e+28,9.06425111571e+53,8.76429347685e+53,9.36420875457e+53,2.99957638864e+52,8.17876467981e+53,7.90810989422e+53,8.44941946539e+53,2.70654785582e+52,1.18648604375e+54,1.14722239718e+54,1.22574969032e+54,3.926364657e+52
bn110731465,110731A,42,2.83,7.485,L,Y,4.40928305061e-06,4.33502189384e-06,4.48354420738e-06,3.30034836338e-05,3.24476388753e-05,3.35593283923e-05,7.49189573083e+28,6.36510406935e+28,1.03068614646e+29,6.07791080615e+53,5.97554661631e+53,6.18027499599e+53,1.02364189837e+52,4.38714401626e+53,4.31325572516e+53,4.46103230736e+53,7.38882911e+51,1.15033345644e+54,1.13095953733e+54,1.16970737555e+54,1.93739191093e+52
