trigger	z	LumDist	t90	epeak	flux_1k_10M_obsv	flux_1k_10M_rest	flux_10k_10M_obsv	flux_10k_10M_rest	flue_1k_10M_obsv	flue_1k_10M_rest	flue_10k_10M_obsv	flue_10k_10M_rest	eiso_1k_10M_obsv	eiso_1k_10M_rest	eiso_10k_10M_obsv	eiso_10k_10M_rest
bn080916009	4.35	1.250787982e+29	62.977	519.747	1.99191423605e-06	1.49919403761e-06	1.96446351055e-06	1.49373740643e-06	0.000125444782844	9.44147429066e-05	0.000123716018504	9.4071100645e-05	4.60973633438e+54	3.46947127662e+54	4.5462091983e+54	3.45684340813e+54
bn090323002	3.57	9.895276171e+28	135.17	686.392	1.17953607238e-06	1.11899815483e-06	1.14441028603e-06	1.1077934861e-06	0.000159437890904	0.000151254980588	0.000154689938363	0.000149740445516	4.2928038408e+54	4.07248213037e+54	4.16496704626e+54	4.03170385653e+54
bn090328401	0.736	1.437554478e+28	61.697	644.55	1.30958563981e-06	1.23547588301e-06	1.29368637817e-06	1.22614529759e-06	8.07975052193e-05	7.62251555542e-05	7.98165684739e-05	7.56494864254e-05	1.20866714839e+53	1.14026839256e+53	1.19399310597e+53	1.13165683503e+53
bn090510016	0.903	1.847658616e+28	0.96	4032.738	2.22456027754e-05	1.73358724864e-05	2.22269752015e-05	1.73272691076e-05	2.13557786644e-05	1.66424375869e-05	2.13378961934e-05	1.66341783433e-05	4.81426453127e+52	3.75172913373e+52	4.81023325959e+52	3.74986724032e+52
bn090902462	1.822	4.387160346e+28	19.328	1077.35	2.14641411954e-05	2.06872218133e-05	2.13008349551e-05	2.06305250444e-05	0.000414858921024	0.000399842623208	0.000411702538012	0.000398746788058	3.55566063356e+54	3.42695939007e+54	3.52860799891e+54	3.41756723841e+54
bn090926181	2.1062	5.237496087e+28	13.76	320.077	1.32724698746e-05	1.21886613317e-05	1.31330304407e-05	1.2154507487e-05	0.000182629185474	0.000167715979924	0.000180710498864	0.000167246023021	2.02674006985e+54	1.86123973549e+54	2.00544731193e+54	1.85602435613e+54
bn091003191	0.8969	1.832308528e+28	20.224	394.574	2.02936776567e-06	1.9736065577e-06	1.99187639274e-06	1.95386675123e-06	4.1041933693e-05	3.99142190229e-05	4.02837081667e-05	3.95150011768e-05	9.12831141438e+52	8.8774915877e+52	8.95967124312e+52	8.78869984489e+52
bn091208410	1.0633	2.25996127e+28	12.48	113.205	6.05425593426e-07	5.9684713862e-07	5.46213275687e-07	5.60915130611e-07	7.55571140596e-06	7.44865228998e-06	6.81674168057e-06	7.00022083003e-06	2.3503083328e+52	2.31700611692e+52	2.12044159889e+52	2.1775153211e+52
bn100728095	1.567	3.645783998e+28	165.378	296.17	8.89257354276e-07	8.53138504495e-07	8.7975210942e-07	8.50329962502e-07	0.000147063602736	0.000141090339596	0.000145491644352	0.000140625868539	9.56909938481e+53	9.18043252524e+53	9.46681557205e+53	9.15021043338e+53
bn110731465	2.83	7.491895731e+28	7.485	287.816	3.81074014215e-06	3.79445539913e-06	3.71600274859e-06	3.77172499157e-06	2.8523389964e-05	2.84014986625e-05	2.78142805732e-05	2.82313615619e-05	5.25285821405e+53	5.23041075162e+53	5.12226885938e+53	5.19907835854e+53
bn130518580	2.49	6.418936133e+28	48.577	393.874	2.93943297444e-06	2.47898616865e-06	2.90685638424e-06	2.47081978717e-06	0.0001427888356	0.000120421711114	0.000141206362577	0.000120025012801	2.11838453995e+54	1.78655067834e+54	2.0949073096e+54	1.78066534725e+54
bn131108862	2.4	6.138846383e+28	18.496	355.972	2.34033960719e-06	2.14020600545e-06	2.30784411816e-06	2.13191029725e-06	4.32869213745e-05	3.95852502768e-05	4.26858848095e-05	3.94318128578e-05	6.02922065016e+53	5.51363323684e+53	5.94550524711e+53	5.49226169953e+53
bn131231198	0.642	1.216932895e+28	31.232	208.443	6.04016282913e-06	5.88883034616e-06	5.72330441344e-06	5.67214914913e-06	0.000188646365479	0.000183919949371	0.000178750243441	0.000177152562226	2.1380527456e+53	2.08448517799e+53	2.02589351665e+53	2.00778594962e+53
