GRB	z	mag1	mag1_err	mag2	mag2_err	mag3	mag3_err	mag4	mag4_err	mag5	mag5_err	maga	maga_err	magb	magb_err
970228	0.7			42.53	1.31	42.41	1.16			43.42	1.21	42.79	0.71	42.56	0.7
970508	0.84	43.09	1.19	43.13	1.34	45.66	1.04	43.92	0.63	43.09	1.2	43.92	0.43	43.68	0.44
970828	0.96			42.99	1.28	44.07	1.03	43.61	0.63	43.27	1.25	43.58	0.46	43.32	0.48
971214	3.42	48.76	1.5	48.69	1.19	47.55	1.04			49.33	1.33	48.44	0.62	48.06	0.61
980613	1.1					45.85	1.33					45.85	1.33	45.63	1.3
980703	0.97	44.47	1.03	44.91	1.28	46.06	1.02	43.59	0.58	42.11	1.2	44.07	0.4	43.91	0.42
990123	1.61	43.23	1.02	44.83	1.21	45.59	1.05	45.54	0.66			44.99	0.45	44.63	0.47
990506	1.31	44.82	1.15	44.24	1.23	44.19	1.03			43.96	1.22	44.31	0.57	43.99	0.57
990510	1.62	46.59	1.08	45.27	1.23	44.26	1.01	45.51	0.56	45.69	1.22	45.46	0.4	45.2	0.41
990705	0.84			45.25	1.22	43.58	1.01	42.99	0.62	45.81	1.32	43.77	0.46	43.59	0.47
990712	0.43					41.88	1.03	41.54	0.62			41.63	0.53	41.5	0.56
991208	0.71			40.5	1.32	42.18	1.02			42.01	1.21	41.69	0.67	41.46	0.67
991216	1.02	43.55	1.08	42.53	1.23	42.72	1.03	43.68	0.64	43.34	1.25	43.32	0.43	43.0	0.44
131	4.5			47.1	1.25	47.7	1.04			48.49	1.38	47.72	0.69	47.37	0.68
210	0.85			40.89	1.32	43.76	1.02			41.93	1.21	42.45	0.67	42.18	0.67
911	1.06			44.56	1.21	45.67	1.06			44.84	1.32	45.1	0.68	44.7	0.68
926	2.07			46.28	1.23	44.29	1.02			47.39	1.45	45.62	0.69	45.32	0.68
10222	1.48			43.35	1.23	43.67	1.02	45.05	0.53	43.71	1.25	44.48	0.42	44.1	0.45
10921	0.45	42.81	1.06	40.97	1.98	43.15	1.03			41.17	1.2	42.35	0.6	42.22	0.59
11211	2.14					47.07	1.03	45.11	0.63			45.64	0.53	45.52	0.56
20124	3.2	47.83	1.23	48.51	1.26	46.25	1.05	46.53	0.64	47.36	1.24	46.98	0.44	46.75	0.45
20405	0.7			44.03	1.25	44.5	1.11	43.54	0.77	42.69	1.21	43.68	0.51	43.43	0.52
20813	1.25	44.39	1.04	45.32	1.23	44.02	1.02	44.04	0.6	42.99	1.2	44.11	0.41	43.89	0.42
20903	0.25					40.79	1.14					40.79	1.14	40.93	1.13
21004	2.32	46.43	1.26	46.75	2.06	46.73	1.16	45.84	0.81	47.68	1.34	46.45	0.52	46.26	0.52
21211	1.01	44.08	1.0			42.32	1.02			44.62	1.21	43.57	0.61	43.37	0.61
30115	2.5	46.58	1.15	47.41	1.61	46.54	1.13			45.51	1.28	46.44	0.63	46.21	0.62
30226	1.98	46.93	1.5	47.21	1.71	46.75	1.07	46.24	0.66	46.49	1.26	46.51	0.47	46.32	0.48
30323	3.37					46.86	1.56			47.37	1.46	47.13	1.07	46.9	1.05
30328	1.52	45.25	1.49	44.77	1.29	44.99	1.02	44.63	0.6			44.78	0.46	44.58	0.48
30329	0.17	42.04	1.04	41.7	1.28	39.7	0.98	38.92	0.53	40.64	1.2	39.88	0.38	39.83	0.4
30429	2.66			47.81	1.88	45.57	1.11	46.57	0.84	46.73	1.26	46.46	0.56	46.27	0.57
30528	0.78	42.8	1.02	44.9	1.82	44.33	1.04			46.23	1.25	44.3	0.59	44.22	0.59
40924	0.86	44.02	1.01			42.72	1.01			45.22	1.21	43.84	0.61	43.62	0.61
41006	0.71	45.08	1.26	44.24	1.27	42.51	1.06	44.21	0.68	43.41	1.23	43.91	0.45	43.72	0.46
50126	1.29	45.48	1.01	46.92	1.44	45.93	1.04			44.87	1.22	45.71	0.57	45.58	0.57
50318	1.44			46.46	1.28	44.31	1.04	45.91	0.67	46.27	1.21	45.71	0.47	45.51	0.49
50319	3.24			46.64	1.71					48.82	1.25	48.06	1.01	47.73	0.99
50401	2.9	46.2	1.21	47.12	1.22	45.36	1.05			48.74	1.31	46.67	0.59	46.32	0.58
50406	2.44	48.22	1.24			46.48	1.39			49.09	1.45	47.92	0.78	47.71	0.76
50408	1.24	45.23	1.1							45.88	1.28	45.51	0.84	45.25	0.83
50416	0.65					41.51	1.04			45.36	1.43	42.84	0.84	42.76	0.83
50502	3.79	47.35	1.52	50.15	1.23	46.98	1.26			47.3	1.4	48.06	0.67	47.72	0.66
