trigger,name,number,z,t90,detector,LATburst,flux,flux_ci_lo,flux_ci_up,fluence,fluence_ci_lo,fluence_ci_up,DL1,DL2,DL3,eiso1,eiso1_ci_lo,eiso1_ci_up,eiso1_err,eiso2,eiso2_ci_lo,eiso2_ci_up,eiso2_err,eiso3,eiso3_ci_lo,eiso3_ci_up,eiso3_err
bn080916009,GRB080916C,5,4.35,62.977,L,Y,1.51011984358e-06,1.4794506448754e-06,1.5407890422846e-06,9.51028173891e-05,9.317136326228e-05,9.703427151592e-05,1.2507879819795937e+29,1.3046680796648685e+29,1.1307123357095525e+29,3.4947560422043007e+54,3.4237806372136366e+54,3.565731447194966e+54,7.097540499066406e+52,3.802327660366016e+54,3.725105747779676e+54,3.879549572952357e+54,7.722191258634002e+52,2.8559705537860294e+54,2.7979683172211787e+54,2.913972790350881e+54,5.800223656485077e+52
bn090323002,GRB090323,13,3.57,135.17,L,Y,1.13852576948e-06,1.1133203924638e-06,1.1637311464962e-06,0.000153894528261,0.00015048751744972002,0.00015730153907228,9.895276171302687e+28,1.0321534221758801e+29,8.94532965885763e+28,4.143550935686201e+54,4.051818481033687e+54,4.235283390338715e+54,9.173245465251411e+52,4.508222646911184e+54,4.408416867776305e+54,4.608028426046062e+54,9.9805779134879e+52,3.386176121457735e+54,3.311210891796426e+54,3.4611413511190436e+54,7.49652296613089e+52
bn090328401,GRB090328A,14,0.736,61.696999999999996,L,Y,1.28926041483e-06,1.2521478129139e-06,1.3263730167461e-06,7.95434998135e-05,7.725376361308001e-05,8.183323601392e-05,1.4375544782114527e+28,1.499479901888254e+28,1.2995492483031532e+28,1.1899082138713592e+53,1.155655560683274e+53,1.2241608670594447e+53,3.425265318808527e+51,1.2946314020952474e+53,1.2573641911411366e+53,1.3318986130493583e+53,3.726721095411083e+51,9.724120309070966e+52,9.444202146793422e+52,1.0004038471348509e+53,2.799181622775446e+51
bn090510016,GRB090510,17,0.903,0.96,L,Y,1.28904015057e-05,1.1993987300916e-05,1.3786815710484e-05,1.23747854455e-05,1.1514227808907001e-05,1.3235343082093e-05,1.8476586159611765e+28,1.9272500640333503e+28,1.6702833888289036e+28,2.7896660471240844e+52,2.5956692759501793e+52,2.9836628182979894e+52,1.9399677117390505e+51,3.0351830703105033e+52,2.824112746617473e+52,3.246253394003534e+52,2.110703236930303e+51,2.2797597283665553e+52,2.1212224630149011e+52,2.4382969937182095e+52,1.5853726535165416e+51
bn090902462,GRB090902B,20,1.8219999999999998,19.328,L,Y,2.04645075205e-05,2.0305638443708e-05,2.0623376597292002e-05,0.000395538001357,0.00039246737984076,0.00039860862287323997,4.387160345929926e+28,4.576145714677676e+28,3.965992952720653e+28,3.3900654636608766e+54,3.363747871119917e+54,3.416383056201837e+54,2.6317592540959616e+52,3.688423319757364e+54,3.65978952991216e+54,3.717057109602568e+54,2.863378984520376e+52,2.7704157379510877e+54,2.7489085802451345e+54,2.7919228956570405e+54,2.1507157705953187e+52
bn090926181,GRB090926A,21,2.1062,13.76,L,Y,1.29745121832e-05,1.2904839069605099e-05,1.30441852967949e-05,0.00017852928764,0.000177570585596934,0.00017948798968306598,5.237496086568281e+28,5.463111302605069e+28,4.734696462257726e+28,1.9812411685538862e+54,1.9706019060485137e+54,1.991880431059258e+54,1.0639262505372542e+52,2.155609148699467e+54,2.144033530366876e+54,2.167184767032057e+54,1.1575618332590976e+52,1.6191019828009323e+54,1.610407407253342e+54,1.6277965583485226e+54,8.694575547590305e+51
bn091003191,GRB091003,24,0.8969,20.224,L,Y,2.0266646042900003e-06,1.9686041625635003e-06,2.0847250460165003e-06,4.09872649571e-05,3.981305058362e-05,4.216147933058e-05,1.8323085283342767e+28,1.9112387418625222e+28,1.656406909614186e+28,9.116152311127857e+52,8.854990287124472e+52,9.377314335131241e+52,2.6116202400338503e+51,9.918460021274547e+52,9.634313266618993e+52,1.0202606775930102e+53,2.841467546555538e+51,7.449865527090661e+52,7.23643974248271e+52,7.663291311698611e+52,2.134257846079504e+51
bn091208410,GRB091208B,28,1.0633,12.48,L,Y,6.48451861614e-07,5.840775647785e-07,7.128261584495e-07,8.092679232939999e-06,7.2892880084329985e-06,8.896070457446996e-06,2.259961270380683e+28,2.357313448181697e+28,2.0430049884241375e+28,2.5173395886029604e+52,2.267433658023656e+52,2.7672455191822635e+52,2.499059305793044e+51,2.7388893052008597e+52,2.4669892867572693e+52,3.010789323644449e+52,2.7190001844359036e+51,2.057210189239757e+52,1.8529830642754604e+52,2.2614373142040532e+52,2.042271249642967e+51
bn100728095,GRB100728A,33,1.567,165.378,L,Y,8.42341754662e-07,8.144666615495998e-07,8.702168477743997e-07,0.00013930479470200001,0.00013469486755326,0.00014391472185074002,3.645783997853054e+28,3.8028331546836463e+28,3.2957887340591595e+28,9.064251115710232e+53,8.764293476845777e+53,9.364208754574686e+53,2.999576388644544e+52,9.86199102928791e+53,9.535634278367748e+53,1.0188347780208069e+54,3.263567509201613e+52,7.407451039776248e+53,7.162320857973994e+53,7.652581221578501e+53,2.451301818022541e+52
bn110731465,GRB110731A,42,2.83,7.485,L,Y,4.40928305061e-06,4.3350218938351e-06,4.4835442073849006e-06,3.30034836338e-05,3.2447638875340004e-05,3.3559328392259995e-05,7.491895730833241e+28,7.814623546930672e+28,6.772673740673249e+28,6.077910806149876e+53,5.975546616312477e+53,6.180274995987274e+53,1.0236418983739922e+52,6.612824499441892e+53,6.501451291770377e+53,6.724197707113405e+53,1.1137320767151471e+52,4.966965957358577e+53,4.8833123035964165e+53,5.050619611120735e+53,8.365365376216027e+51
bn130518580,GRB130518A,58,2.49,48.577,L,Y,2.35414355785e-06,2.3164310273906003e-06,2.3918560883094003e-06,0.00011435723161,0.00011252527001787,0.00011618919320213,6.41893613286999e+28,6.695444150901315e+28,5.8027182641144725e+28,1.696579361036368e+54,1.6694007717712945e+54,1.723757950301442e+54,2.717858926507353e+52,1.8458944070973786e+54,1.8163238446648908e+54,1.8754649695298665e+54,2.9570562432487826e+52,1.3864717991086975e+54,1.3642610211038512e+54,1.408682577113544e+54,2.2210778004846348e+52
bn131108862,GRB131108A,65,2.4,18.496,L,Y,2.3442647341e-06,2.3058563694326003e-06,2.3826730987674e-06,4.33595205219e-05,4.2649119409012e-05,4.4069921634788e-05,6.138846383442763e+28,6.4032889968833755e+28,5.549517130632258e+28,6.0393326263039965e+53,5.940384377633668e+53,6.138280874974325e+53,9.894824867032844e+51,6.570851074532371e+53,6.463194443190901e+53,6.6785077058738415e+53,1.0765663134147033e+52,4.935439251537645e+53,4.854577159552274e+53,5.016301343523016e+53,8.086209198537119e+51
bn131231198,GRB131231A,66,0.642,31.232,L,Y,5.54758407497e-06,5.4996319958128e-06,5.5955361541272e-06,0.00017326214582900006,0.00017176450649276004,0.00017475978516524003,1.2169328945422757e+28,1.2693546192302505e+28,1.100107336666217e+28,1.9636933124998444e+53,1.9467195855784792e+53,1.9806670394212092e+53,1.6973726921365225e+51,2.1365169151791205e+53,2.118049339590669e+53,2.154984490767572e+53,1.8467575588451653e+51,1.6047615940678722e+53,1.5908903928481017e+53,1.6186327952876424e+53,1.3871201219770545e+51
bn081221681,GRB081221,9,2.26,29.695999999999998,G,N,9.76519155077e-07,9.596440215741998e-07,9.933942885798001e-07,2.89987128292e-05,2.8497588864701e-05,2.9499836793699e-05,5.706753556584883e+28,5.952582940560846e+28,5.158905215152734e+28,3.640400970611513e+53,3.5774915519244226e+53,3.7033103892986037e+53,6.290941868709056e+51,3.960790721359958e+53,3.892344678236274e+53,4.029236764483642e+53,6.844604312368466e+51,2.9749939195992585e+53,2.923583336097469e+53,3.026404503101048e+53,5.1410583501789455e+51
bn081222204,GRB081222,10,2.77,18.88,G,N,7.18913321677e-07,6.763336277370999e-07,7.614930156169e-07,1.35730835133e-05,1.2769178891714999e-05,1.4376988134885001e-05,7.300945023861553e+28,7.6154472710432825e+28,6.600054301570843e+28,2.411599535257268e+53,2.268765667779339e+53,2.5544334027351976e+53,1.4283386747792918e+52,2.6238431260714852e+53,2.4684385259821966e+53,2.779247726160774e+53,1.554046000892886e+52,1.970797725804804e+53,1.8540716039599604e+53,2.0875238476496473e+53,1.1672612184484346e+52
