trigger,name,number,z,t90,detector,LATburst,flux,flux_ci_lo,flux_ci_up,fluence,fluence_ci_lo,fluence_ci_up,DL1,DL2,DL3,eiso1,eiso1_ci_lo,eiso1_ci_up,eiso1_err,eiso2,eiso2_ci_lo,eiso2_ci_up,eiso2_err,eiso3,eiso3_ci_lo,eiso3_ci_up,eiso3_err
bn080916009,GRB080916C,5,4.35,62.977,L,Y,1.51011984358e-06,1.4794506448754e-06,1.5407890422846e-06,9.51028173891e-05,9.317136326228e-05,9.703427151592e-05,1.2507879819795937e+29,9.229856492467287e+28,2.091661450920439e+29,3.4947560422043007e+54,3.4237806372136366e+54,3.565731447194966e+54,7.097540499066406e+52,1.9030025144812063e+54,1.8643542161357907e+54,1.9416508128266226e+54,3.86482983454156e+52,9.77309791517322e+54,9.574614938345652e+54,9.971580892000789e+54,1.9848297682756768e+53
bn090323002,GRB090323,13,3.57,135.17,L,Y,1.13852576948e-06,1.1133203924638e-06,1.1637311464962e-06,0.000153894528261,0.00015048751744972002,0.00015730153907228,9.895276171302687e+28,7.814458393831072e+28,1.503259383005748e+29,4.143550935686201e+54,4.051818481033687e+54,4.235283390338715e+54,9.173245465251411e+52,2.5841314944192606e+54,2.5269224172756993e+54,2.641340571562822e+54,5.720907714356134e+52,9.562791553003156e+54,9.35108464844159e+54,9.774498457564721e+54,2.1170690456156566e+53
bn090328401,GRB090328A,14,0.736,61.696999999999996,L,Y,1.28926041483e-06,1.2521478129139e-06,1.3263730167461e-06,7.95434998135e-05,7.725376361308001e-05,8.183323601392e-05,1.4375544782114527e+28,1.4418864377023105e+28,1.471112290154162e+28,1.1899082138713592e+53,1.155655560683274e+53,1.2241608670594447e+53,3.425265318808527e+51,1.1970904122572244e+53,1.1626310125759463e+53,1.2315498119385023e+53,3.445939968127811e+51,1.2461103009777387e+53,1.2102398166194337e+53,1.2819807853360437e+53,3.5870484358304996e+51
bn090510016,GRB090510,17,0.903,0.96,L,Y,1.28904015057e-05,1.1993987300916e-05,1.3786815710484e-05,1.23747854455e-05,1.1514227808907001e-05,1.3235343082093e-05,1.8476586159611765e+28,1.834831043250961e+28,1.9274171827725446e+28,2.7896660471240844e+52,2.5956692759501793e+52,2.9836628182979894e+52,1.9399677117390505e+51,2.7510653831925597e+52,2.559752949154852e+52,2.9423778172302674e+52,1.9131243403770767e+51,3.0357094762705003e+52,2.82460254566652e+52,3.246816406874481e+52,2.1110693060398007e+51
bn090902462,GRB090902B,20,1.8219999999999998,19.328,L,Y,2.04645075205e-05,2.0305638443708e-05,2.0623376597292002e-05,0.000395538001357,0.00039246737984076,0.00039860862287323997,4.387160345929926e+28,4.0877587653827765e+28,5.213383110972145e+28,3.3900654636608766e+54,3.363747871119917e+54,3.416383056201837e+54,2.6317592540959616e+52,2.9431445069516772e+54,2.9202964296052665e+54,2.9659925842980875e+54,2.284807734641065e+52,4.787186539492429e+54,4.7500228840661765e+54,4.8243501949186804e+54,3.7163655426252275e+52
bn090926181,GRB090926A,21,2.1062,13.76,L,Y,1.29745121832e-05,1.2904839069605099e-05,1.30441852967949e-05,0.00017852928764,0.000177570585596934,0.00017948798968306598,5.237496086568281e+28,4.7664876328072565e+28,6.492332261630193e+28,1.9812411685538862e+54,1.9706019060485137e+54,1.991880431059258e+54,1.0639262505372542e+52,1.6409179349683997e+54,1.6321062077859663e+54,1.6497296621508327e+54,8.811727182433354e+51,3.044327679975552e+54,3.0279796442827178e+54,3.0606757156683853e+54,1.6348035692834095e+52
bn091003191,GRB091003,24,0.8969,20.224,L,Y,2.0266646042900003e-06,1.9686041625635003e-06,2.0847250460165003e-06,4.09872649571e-05,3.981305058362e-05,4.216147933058e-05,1.8323085283342767e+28,1.8202729707700243e+28,1.909978544765318e+28,9.116152311127857e+52,8.854990287124472e+52,9.377314335131241e+52,2.6116202400338503e+51,8.996786350882515e+52,8.739043955546011e+52,9.25452874621902e+52,2.5774239533650387e+51,9.90538463356508e+52,9.621612466191778e+52,1.018915680093838e+53,2.8377216737330145e+51
bn091208410,GRB091208B,28,1.0633,12.48,L,Y,6.48451861614e-07,5.840775647785e-07,7.128261584495e-07,8.092679232939999e-06,7.2892880084329985e-06,8.896070457446996e-06,2.259961270380683e+28,2.221660822599643e+28,2.4065178310466704e+28,2.5173395886029604e+52,2.267433658023656e+52,2.7672455191822635e+52,2.499059305793044e+51,2.4327379262886015e+52,2.1912307263553122e+52,2.6742451262218905e+52,2.415071999332893e+51,2.854420688509903e+52,2.571051427701208e+52,3.1377899493185974e+52,2.833692608086953e+51
bn100728095,GRB100728A,33,1.567,165.378,L,Y,8.42341754662e-07,8.144666615495998e-07,8.702168477743997e-07,0.00013930479470200001,0.00013469486755326,0.00014391472185074002,3.645783997853054e+28,3.4631302544822814e+28,4.171154602210775e+28,9.064251115710232e+53,8.764293476845777e+53,9.364208754574686e+53,2.999576388644544e+52,8.178764679805786e+53,7.908109894223942e+53,8.44941946538763e+53,2.7065478558184304e+52,1.1864860437510201e+54,1.147222397180997e+54,1.2257496903210432e+54,3.9263646570023066e+52
bn110731465,GRB110731A,42,2.83,7.485,L,Y,4.40928305061e-06,4.3350218938351e-06,4.4835442073849006e-06,3.30034836338e-05,3.2447638875340004e-05,3.3559328392259995e-05,7.491895730833241e+28,6.365104069353217e+28,1.0306861464559164e+29,6.077910806149876e+53,5.975546616312477e+53,6.180274995987274e+53,1.0236418983739922e+52,4.387144016260738e+53,4.313255725160756e+53,4.4610323073607175e+53,7.388829109998154e+51,1.1503334564426742e+54,1.13095953733342e+54,1.1697073755519281e+54,1.9373919109254135e+52
